Name,Type,One Liner,Industry,Website,Description,Business Model,Mega-trend,Driver,Value Chain Position,Stack Position,Theme,Focus Area,Opportunity Space- OLD,Tagged Opp Space?,Opp Space (V1),Final Opp Space,Founded,Employees,Country,City,Location,Funded,Funding Stage,Latest Funding Date,Latest Funding (USD),Total Funding (USD),Maturity,Fast Growth (Y/N),Relevance,Owner,Checked,Inc. Radar,Hero,BHG Partnered,OLD - Focus Areas,OLD - Opp Space,Input,RM Relationship,Comments,Year Score (0.4),Funding Score (0.6),Employee Score (0),Total Score,Result,0.3,0.5,0.2,Text to no.conversion,Rnd,Contact - Email,Contact - LinkedIn
Nautilus Labs,Startup,Big data analytics for maritime vessel operations,Shipping,https://www.nautiluslabs.co,"Nautilus is building artificial intelligence to advance the efficiency of ocean commerce. We deliver technology to help shipping companies minimize fuel consumption, maximize operational efficiency, and optimize fleet performance. By arming ship owners and operators with real-time predictive decision support, Nautilus is reducing greenhouse gas emissions and making global trade sustainable.",,,,,,New Customer Services,Fuel Optimisation,,,Route Optimisation (merged with Vessel Tracking),Bunker Planning,2016,11-50,USA,Brooklyn,Global,Yes,Undisclosed,,,"13,000,000",Nascent,,,Hazel,Yes,TRUE,,FALSE,"infrastructure, vessel & Asset efficiency",In-Port Vessel Time Reduction,Old,General Scouting,,0.5,0,1,0.35,Nascent,,,,,3131,,
Offshore Monitoring,,,Shipping,http://www.offshoremonitoring.com/,Offshore Monitoring provides monitoring systems and sensor solutions for the maritime industries.,,,,,,New Customer Services,Other,,,,Deprioritised,2007,11-50,China,,Global,Yes,Undisclosed,,,"2,731,032",Emerging,,,,,FALSE,FALSE,FALSE,,,New,,,1,0,1,0.5,Emerging,,,,,3069,,
"Navarik",,,Maritime,navarik.com,"Navarik offers a digital solution to facilitate trade management of oil and oil products. The solution offers a structured workflow to manage and capture data in trade execution process. Features of the solution include scheduling of inspection process, capturing of data from inspection process and facilitating loss control process by prioritizing on key activities.",,,,,,Digital Trading,Digital Bunker Trading,Trading platform,,Digital trading operations (merged with trade execution),Digital Trading Operations,2000,11-50,Canada,,Global,Yes,Acquired,,,"1,000,000",Mature,,,,,TRUE,FALSE,FALSE,,,New,,,1,0.66,1,0.83,Mature,,,,,7486,,
Navidium,Startup,,Maritime,https://www.navidium.com/,"Navidium Plc solutions are built based on real-time data to be able to offer safe and sound support of IoT for all vessels and sites concerned. Hence, our parole is to offer solutions that enable ships to be en route and sites to be in operation no matter what conditions they face.",,,,,,New Customer Services,Fuel Optimisation,Performance Optimization,Yes,Route Optimisation (merged with Vessel Tracking),Bunker Planning,2013,51-200,Finland,,Europe,Yes,Undisclosed,,,,Nascent,,,,,TRUE,FALSE,FALSE,,,New,,,0.5,0,1,0.35,Nascent,,,,,47833,,
Scripless,Startup,,Shipping,https://www.scripless.io/,Scripless provides blockchain-based logistics solutions. It offers a paperless bill of lading solutions for marine transport and logistics industry. It adopts Hyperledger blockchain framework.,,,,,,Data Utilisation,Automating Compliance,,,Deprioritised,Deprioritised,2018,1-10,Australia,,Global,Yes,Seed,,,,Nascent,,,,,TRUE,FALSE,FALSE,,,New,,,0.5,0,1,0.35,Nascent,,,,,37217,,
Navisense,Startup,,Maritime,https://navisense.de/?#projects,Maritime IoT Solutions Navisense helps workboat operators to save fuel. Furthermore we make life of port agents easier and support vesseloperators to optimize their portcalls.,,,,,,New Customer Services,Fuel Optimisation,,,Route Optimisation (merged with Vessel Tracking),Bunker Planning,2017,1-10,Germany,,Europe,No,Seed,,,,Nascent,,,,,TRUE,FALSE,FALSE,,,New,,,0.5,0,1,0.35,Nascent,,,,,9132,,
Navlungo,,,Shipping,https://www.navlungo.com/,Online marketplace connecting shippers and carriers,,,,,,Digital Trading,Online Marketplace,,,Bunker Marketplace (merged with integrated marketplace),Bunker Marketplace,2019,11-50,Turkey,,Europe,Yes,Seed,,,"250,000",Nascent,,,,,TRUE,FALSE,FALSE,,,New,,,0.5,0,1,0.35,Nascent,,,,,36014,,
Neptune Robotics,Startup,Provider of robotic solution for inspection of cargo ship hulls,Maritime,https://neptune-robotics.com/#/,"Neptune Robotics offers a remotely operable, camera-enabled robotic drone for underwater inspection of the hulls of cargo ships. A user can remotely control the robot from a dedicated controller to check for any unwanted object like barnacles, which create an extra drag as the vessel floats.",,,,,,New Customer Services,Fuel Optimisation,,,Deprioritised,Deprioritised,2018,1-10,China,Shenzhen,Global,Yes,Seed,,,"55,000",Nascent,,,,,TRUE,,FALSE,Fuel & Efficiency,Energy Efficiency & Storage,Old,General Scouting,,0.5,0,1,0.35,Nascent,,,,,27271,,
"Net Zero Teesside",Startup,,Energy,https://www.netzeroteesside.co.uk/,"Net Zero Teesside is a provider of smart solutions for industrial carbon capture. It has developed technologies that remove carbon dioxide emissions and store them deep underground, preventing them from being released into the atmosphere. ",,,,,,Decarbonisation,Other,Carbon capture technologies,,,Deprioritised,2019,1-10,United Kingdom,,Europe,Yes,Undisclosed,,,Undisclosed,Nascent,,,Hazel,Yes,FALSE,FALSE,FALSE,,,New,,,0.5,0,1,0.35,Nascent,,,,,14088,,
Marine Rescue Technologies,,,Safety,https://www.mrtsos.com/,Marine Rescue Technologies is manufactures and supplies commercial man overboard safety systems.,,,,,,New Customer Services,Vessel Services,Safety solutions,,,,2001,,United Kingdom,East Riding of Yorkshire,Europe,,,,,"985,814",Emerging,,,,,FALSE,FALSE,FALSE,,,New,,,1,0.66,0,0.63,Emerging,,,,,6400,,
New York Shipping Exchange (NYSHEX),Startup,,Shipping,https://www.nyshex.com/,The New York Shipping Exchange (NYSHEX) is supporting the transformation of container shipping by solving inefficiencies associated with booking downfalls and shipment rollings. ,,,,,,Digital Trading,Online Marketplace,Booking platform,,Inquiry Management,Intelligent Pricing,2014,11-50,USA,,Global,Yes,Series A,,,"28,800,000",Emerging,,,,,TRUE,FALSE,FALSE,,,New,,,0.5,0.33,1,0.515,Emerging,,,,,36423,,
Nextspace,Startup,Digital twin based geospatially-enabled asset management software,Adjacent,https://nextspace.nz,"NEXTSPACE provides digital twin based geospatially-enabled asset management software. Enables users to consume, manage, interact and explore multiple data types such as spatial & non-spatial data using maps and 3D technology. Offers cloud-based visual asset communication & understanding solutions for transportation, utilities, marine, mining, architecture and other applications.","Manufacturing Tech > Process Control > Analytics > Production Analysis > Digital Twin
 Digital Twin > Digital Twin Platforms > Products > Multi-Industry",,,,,Data Utilisation,Intelligent & Autonomous Shipping,,,Deprioritised,Deprioritised,2007,1-10,New Zealand,,Global,No,Unfunded,,,,Emerging,,2,Hazel,Yes,TRUE,,FALSE,"Infrastructure, Vessel & Asset efficiency",Equipment Management,Old,Decarb,quite an established though but really good at what they do,1,0,1,0.5,Emerging,,,,,13516,mark.thomas@nextspace.nz,https://linkedin.com/in/mark-thomas-34a410
Conexbird,,Digital twin for structural assessment of containers,,https://conexbird.com/,"Conexbird offers services for logistic and 3PL players to track their shipment, provide information regarding container parameters and data analytics. ",,,,,,Data Utilisation,Market Intelligence,,,,,2013,1-10,Finland,Jyvaskyla,Europe,Yes,Seed,,,"965,000",Nascent,,,Vish,Yes,TRUE,,FALSE,Physical Process Enhancement,Container logistics optimisation,Old,General Scouting,,0.5,0,1,0.35,Nascent,,,,,22527,,
NORI,Startup,Cryptocurrency meets carbon trading,Cross industry - consumer and business,https://nori.com/,Nori uses blockchain to solve the “double counting” that exists in the carbon offset market,,,,,,Decarbonisation,Emission Trading & Offsetting,,,Emissions offsetting,Emissions Offsetting,2017,1-10,USA,,Global,Yes,Series A,,"4,000,000","5,300,000",Nascent,,,Hazel,Yes,TRUE,FALSE,FALSE,,,Old,General Scouting,,0.5,0.33,1,0.515,Emerging,,,,,46037,,
Norsepower,Startup,,Maritime,https://www.norsepower.com/,Provider of cargo vessel auxiliary wind propulsion systems to reduce fuel consumption,,,,,,Decarbonisation,Eco-vessel Design,,,Deprioritised,Deprioritised,2012,11-50,Finland,,Europe,Yes,Series A,,,"23,000,000",Emerging,,,Miles,,TRUE,FALSE,FALSE,,,New,,,0.5,0.33,1,0.515,Emerging,,,,,23390,,
"Oaze.io",Startup,Software to measure emissions in real-time.,Energy,https://www.ollie.energy/,"Oaze.io measures, harmonizes and visualizes all emissions data of your company in real-time.",,,,,,Decarbonisation,CO2 Tracking & Advisory,Visualise emissions data in real-time,,Analyse emissions data,Analyse Emissions Data,2019,1-10,Austria,,Europe,Yes,Undisclosed,,,,Nascent,,,Hazel,Yes,TRUE,,,,,New,,,0.5,0,1,0.35,Nascent,,,,,7157,,
Oberon Fuels,Startup,Produce variants of Dimethyl ether( an alternative for biodiesel),Adjacent,https://oberonfuels.com,"Dimethyl ether is a isonomer of ethanol which can be used as a biofuel by blending with diesel. Oberon fuels is producing variants of Dimethyl ether with its proprietary innovative skid-mounted, modular, small-scale process.The Oberon process cost-effectively converts methane to DME, resulting in stable pricing (not dependent on crude oil), at a price point lower than diesel. Oberon currently supplying three variants of DME - BHG10, BG10, BBHG10 with different proportions of BioDME and CO2 content.",,,,,,Decarbonisation,New Fuels,,,Supply new fuels,Physical Supply of New Fuels,2010,11-50,USA,La Jolla,Global,Yes,Series A,,,"3,100,000",Mature,,2,Miles,,TRUE,,FALSE,Fuel & Fuel Efficiency,Fuel Additives,Old,Decarb,focus on trucks,1,0.33,1,0.665,Mature,,,,,36145,,
Element 1,,"Makes hydrogen generator, fuel reformer.",Renewables,,,,,,,,,,,,,,2010,,USA,Bend,Global,Yes,Seed,,,"949,987",Nascent,,,Miles,,,,FALSE,Fuel & Efficiency,New Fuel Types,Old,General Scouting,,1,0,0,0.3,Nascent,,,,,6843,,
AUS,Startup,"Aarav Unmanned Systems (AUS) has developed and designed Nayan, a quadrotor for developers and researchers. It claims to be performing 3D mapping &amp; Image Processing, precision agriculture, geographical mapping and survey, aerial photography, disaster/event management, and defense surveillance. Claims to have started in 2013 with a seed capital of INR 25 lakhs. Incubated by SIDBI Innovation and Incubation Centre, IIT Kanpur. Raised an undisclosed amount from StartupXseed Ventures, 3ONE4 Capital (a family fund of Mr. Mohandas Pai), The Phoenix Fund and HNIs including, Ashok Atluri and Sanjay Jesrani in Feb 2016.",Adjacent,https://aus.co.in,"Aarav Unmanned Systems (AUS) has developed and designed Nayan, a quadrotor for developers and researchers. It claims to be performing 3D mapping &amp; Image Processing, precision agriculture, geographical mapping and survey, aerial photography, disaster/event management, and defense surveillance. Claims to have started in 2013 with a seed capital of INR 25 lakhs. Incubated by SIDBI Innovation and Incubation Centre, IIT Kanpur. Raised an undisclosed amount from StartupXseed Ventures, 3ONE4 Capital (a family fund of Mr. Mohandas Pai), The Phoenix Fund and HNIs including, Ashok Atluri and Sanjay Jesrani in Feb 2016.","Drones > Civilian Drones > Pure Play Hardware
 Geographic Information Systems > Image Processing & Mapping > Aerial Image Processing
 Crop Tech > Farm Analytics > Drones Based",,,,,New Customer Services,Vessel Services,,,,,2013,11-50,India,Bangalore,Global,Yes,Seed,43990,"66,424","814,923",Nascent,,2,Miles,Yes,TRUE,TRUE,FALSE,Supply Chain Visibility,Real-time tracking of goods,Old,SCR,,0.5,0,1,0.35,Nascent,,,,,48648,"vipul@aus.co.in
 vipul@aus.co.in
 suhasbanshiwala@gmail.com
 suhas@aus.co.in
 nikhil@aus.co.in
 yeshwanth@aus.co.in","http://linkedin.com/in/vipul-singh-aa38992a
 http://linkedin.com/in/suhas-banshiwala-5264ab60
 http://linkedin.com/in/nikhil-upadhye-6669bb13
 http://linkedin.com/in/yeshwanth-reddy-5b6b2998"
TraMes,,,Shipping,https://trames.sg/,Cross boarder transportation orchestration managed service,,,,,,Digital Trading,Intelligent Sourcing,Supply chain interoperability,,,,2019,11-50,Singapore,,Global,Yes,Seed,,,"736,225",Nascent,,,,,TRUE,FALSE,FALSE,,,New,,,0.5,0,1,0.35,Nascent,,,,,3914,,
One Scientific,Startup,Fuel cell technology developer,Energy,https://onescientific.com,Fuel cell technology developer,,,,,,Decarbonisation,New Fuels,,,Supply new fuels,Physical Supply of New Fuels,2014,1-10,USA,Johnson,Global,Yes,Seed,,,"662,000",Nascent,,,,,TRUE,TRUE,FALSE,Fuel & Fuel Efficiency,New Fuel Types,Old,Decarb,,0.5,0,1,0.35,Nascent,,,,,45526,,
Open Mile,,,Shipping,http://www.openmile.com,Open Mile operates a real-time freight marketplace that provides logistics services and creates apps for carriers and shippers.,,,,,,Digital Trading,Online Marketplace,Real time frieght marketplace,,Bunker Marketplace (merged with integrated marketplace),Bunker Marketplace,2009,51-200,USA,,Global,Yes,Acquired,,,"9,000,000",Mature,,,,,TRUE,FALSE,FALSE,,,New,,,1,0.66,1,0.83,Mature,,,,,25311,,
CriticaLog,,,Shipping,https://criticalog.com/,CriticaLog provides customized critical logistics solutions.,,,,,,New Customer Services,Vessel Services,,,,,2013,51-200,India,,Global,Yes,Private Equity,,,"680,532",Mature,,,Miles,Yes,TRUE,FALSE,FALSE,,,New,,,0.5,0.66,1,0.68,Mature,,,,,44553,,
OpenSeaPro,Startup,Marketplace for ship chartering,Maritime,https://www.opensea.pro,"Openseapro provides an online platform for ship chartering. Customers need to specify a position of shipment on the web platform and it suggests suitable matching shippers based on the origin. Customers can view and compare multiple carriers and communicate using the platform. After the terms are finalized, parties need to exchange standard documentation and the shipment is processed. Customers can then view real-time status of the cargo in-transit.Pricing is dependent on different plan types starting at 100 EUR per month. Clients include Agility,Royal Wagenborg, Scanwel, Braemar, Torvald Klaveness, Cargill, AAL among others.",,,,,,Digital Trading,Online Marketplace,Freight Marketplace,,Bunker Marketplace (merged with integrated marketplace),Bunker Marketplace,2015,1-10,United Kingdom,Douglas,Europe,Yes,Undisclosed,,,,Emerging,,,,,TRUE,,FALSE,Business Model Innovation,Freight Orchestration,Old,General Scouting,,0.5,0,1,0.35,Nascent,,,,,47019,,
"Opus 12",Startup,,Chemicals,https://www.opus-12.com/,Technology solution for carbon capture and production of liquid fuels,,,,,,Decarbonisation,Other,Carbon capture technologies,,,Deprioritised,2014,11-50,USA,,Global,Yes,Seed,,,"350,000",Nascent,,,,,FALSE,FALSE,FALSE,,,New,,,0.5,0,1,0.35,Nascent,,,,,39694,,
VALUESHIPR (M/s. DECKER LOGISTICS PVT LTD),,,,http://www.valueshipr.com,"A multimodal Logistics platform, facilitates spot and bid Freight price buying and transaction execution seamlessly, using technology",,,,,,Digital Trading,Online Marketplace,,,,,2016,,India,Maharashtra,Global,Yes,Seed,,,"655,000",Nascent,,,,,FALSE,FALSE,FALSE,,,New,,,0.5,0,0,0.15,Nascent,,,,,15224,,
Shipup,Startup,Online marketplace for ocean freight transportation,Maritime,https://www.shipup.net/en/,"ShipUp is an online marketplace for ocean freight transportation. The platform enables users to search and compare quotes from multiple operators after providing logistics requirements/details. Users can further book a quote of their choice. Additionally, the platform also offers features such as real-time delivery alerts and real-time track & trace.",,,,,,Digital Trading,Online Marketplace,Marketplace,,Bunker Marketplace (merged with integrated marketplace),Bunker Marketplace,2016,1-10,Canada,Regina,Global,No,Unfunded,,,,Nascent,,,,,TRUE,,FALSE,Business Model Innovation,Freight Orchestration,Old,General Scouting,,0.5,0,1,0.35,Nascent,,,,,21805,,
Ordoro,,,Shipping,http://www.ordoro.com,"Ordoro develops a web app for small-Â­and-medium-Â­sized e-Â­commerce retailers to manage their orders, inventory, and suppliers.",,,,,,Digital Trading,Digital Bunker Trading,Freight management,,Digital trading operations (merged with trade execution),Digital Trading Operations,2010,11-50,USA,,Global,Yes,Series A,,,"4,000,000",Mature,,,,,TRUE,FALSE,FALSE,,,New,,,1,0.33,1,0.665,Mature,,,,,19998,,
OTC Markets Group,Corporate Venture,Compliance Analytics product,Financial services,https://www.otcmarkets.com/market-data/compliance-data-products/compliance-analytics,OTC Markets provides a Compliance Analytics product which offers quantitative values in 19 risk categories as well as an aggregate risk value for all OTC equity securities,,,,,,Digital Trading,Advanced Paper Trading,,,Trade Analytics,Global Trade Analytics,2015,51-200,USA,,Global,Yes,Public,,,,Nascent,,,Hazel,Yes,TRUE,FALSE,FALSE,,,New,,,0.5,0.66,1,0.68,Mature,,,,,3527,,
Dockstr,,,,https://www.dockstr.com,"Dockstr is an online marketplace and a digital tool to buy, sell and rent equipment/material & inventory.",,,,,,Digital Trading,Online Marketplace,Alternative commodities,,,,2017,,Sweden,Stockholms Lan,Europe,Yes,Seed,,,"578,771",Nascent,,,,,FALSE,FALSE,FALSE,,,New,,,0.5,0,0,0.15,Nascent,,,,,39067,,
Packlink,,,Shipping,http://www.packlink.com/,Packlink & Packlink PRO are an online platform that offers cost-effective package delivery services in Spain and internationally.,,,,,,Digital Trading,Online Marketplace,Online marketplace,,Bunker Marketplace (merged with integrated marketplace),Bunker Marketplace,2011,51-200,Spain,,Europe,Yes,Series C,,,"24,900,000",Mature,,,,,TRUE,FALSE,FALSE,,,New,,,1,0.66,1,0.83,Mature,,,,,34862,,
Pakde,,,Shipping,https://pakde.co.id/,PakdÃ© is a company that facilitates your online business operations as needed.,,,,,,Digital Trading,Online Marketplace,Product packing and dispatch service,,Bunker Marketplace (merged with integrated marketplace),Bunker Marketplace,2016,1-10,Indonesia,,Global,Yes,Acquired,,,"400,000",Emerging,,,Hazel,Yes,TRUE,FALSE,FALSE,,,New,,,0.5,0.66,1,0.68,Mature,,,,,29084,,
ParcelABC,,,Shipping,https://www.parcelabc.com/,ParcelABC is a logistics company that unites thousands of local and international delivery companies.,,,,,,Digital Trading,Online Marketplace,,,Bunker Marketplace (merged with integrated marketplace),Bunker Marketplace,2014,1-10,United Kingdom,,Europe,Yes,Series A,,,"2,095,406",Emerging,,,,,TRUE,FALSE,FALSE,,,New,,,0.5,0.33,1,0.515,Emerging,,,,,35692,,
Venditz,,Software solutions provider for the logistics industry,Maritime,https://www.venditz.com,"Venditz is a provider of software solutions for the logistics industry. Offers 'Isa Moa', an app-based (iOS/Android) solution that matches users (shippers & freight forwarders) with a network of carriers through dynamic pricing, AI-based matching algorithms & demand distribution technology. Additionally, the company also offers 'Sendi', a web-based matching platform for freight transportation.",,,,,,Digital Trading,Intelligent Sourcing,,,,,2015,1-10,South Korea,Haeundae,Global,Yes,Seed,,,"526,000",Nascent,,,,,TRUE,,FALSE,Business Model Innovation,Freight Orchestration,Old,General Scouting,,0.5,0,1,0.35,Nascent,,,,,2217,,
Global Freight Index,Startup,Online directory of logistics service providers,,https://globalfreightindex.com,"Global Freight Index is an international freight forwarders and logistics business directory which also provides promotional services for small scale logistics and freight forwarders companies across the world. Users can search for various logistics service providers (freight forwarders, carriers, custom brokers, etc), filter them out by region, compare services offered, request for a quote and connect with them offline. Listing is free for companies. Works on a subscription-based model.",Logistics Tech > Freight > Ocean or Air > Forwarding > Listings,,,,,Digital Trading,Online Marketplace,Booking software,,Inquiry Management,Intelligent Pricing,2014,1-10,India,,Global,No,Unfunded,,,,Nascent,,,Miles,,TRUE,,FALSE,Data & AI,Freight Orchestration,Old,Decarb,,0.5,0,1,0.35,Nascent,,,,,11035,,
Spire Global,Startup,,Technology,https://spire.com,"Spire is a space to cloud data analytics startup that utilizes proprietary satellite data and algorithms to provide the most advanced maritime, aviation, and weather tracking in the world.",,,,,,Data Utilisation,Intelligent & Autonomous Shipping,,,Deprioritised,Deprioritised,2012,,USA,,Global,Yes,,,,,Nascent,,,,,FALSE,FALSE,TRUE,,,,,,0.5,0.66,0,0.48,Nascent,,,,,8924,,
Passport,,,Shipping,http://passportshipping.com/,Passport is an international shipping carrier for eCommerce companies and their 3PLs.,,,,,,Digital Trading,Online Marketplace,,,Bunker Marketplace (merged with integrated marketplace),Bunker Marketplace,2017,11-50,USA,,Global,Yes,Seed,,,"3,000,000",Nascent,,,,,TRUE,FALSE,FALSE,,,New,,,0.5,0,1,0.35,Nascent,,,,,31156,,
"PayCargo
",Startup,,Fintech,https://paycargocap.com/,"PayCargo provides an online platform for international trade financing. It offers financing for transportation and logistics businesses. It enables businesses to provide clients with funds in order to book cargo on ships, airplanes, and trucks.",,,,,,New Customer Services,Financial Services,Digital credit lines,,Intelligent Credit Processes,New Financing Methods,2019,51-100,USA,,Global,Yes,Series A,,,"35,000,000",Nascent,,,Vish,Yes,TRUE,FALSE,FALSE,,,New,,,0.5,0.33,1,0.515,Emerging,,,,,13523,,
KeelCrab,Startup,,adjacent,https://www.keelcrab.com/,KeelCrab designs fully automated underwater drones that clean and inspect the hulls of a boat,,,,,,New Customer Services,Vessel Services,,,,,2012,1-10,Italy,,Europe,Yes,Seed,,,"500,000",Nascent,,,Miles,,TRUE,,FALSE,,,Old,General Scouting,,0.5,0,1,0.35,Nascent,,,,,48308,,
GoComet,,Online portal for freight booking and forwarding.,Maritime,https://www.gocomet.in,"Gocomet is an online portal which helps businesses book and move their cargo internationally using technology. Businesses can book freight, manage the inland transport, customs and international freight from their dashboards. Users are provided with quotes within 24 hours, which they can compare and book shipments. They can also track their shipments through the portal. Raised an undisclosed amount in a seed round of funding led by India Quotient, investor Rahul Garg, and founders of Blackbuck.",,,,,,Data Utilisation,Market Intelligence,,,Cargo Tracking,Cargo Tracking,2015,51-200,India,Mumbai,Global,Yes,Series A,,,"2,511,123",Emerging,,,Miles,,TRUE,,FALSE,Business Model Innovation,Freight Orchestration,Old,General Scouting,,0.5,0.33,1,0.515,Emerging,,,,,8707,,
PETRA,Startup,Provider of machine learning and optimization solutions to the mining industry,Adjacent,https://petradatascience.com,"PETRA is the provider of machine learning and optimization solutions to the mining industry. The product offerings include MAXTA is a mine value chain optimization solution, uses historical data to predict plant performance, FORESTALL is a suite of machine health and predictive maintenance, FRAGx for measuring fragmentation from point cloud data.","Mining Tech > Exploration > Geological Mapping
 Digital Twin > Digital Twin Platforms > Products > Mining",,,,,Data Utilisation,Intelligent & Autonomous Shipping,,,Deprioritised,Deprioritised,2015,201-500,Australia,,Global,No,Unfunded,,,,Nascent,,2,Hazel,Yes,TRUE,,FALSE,"Infrastructure, Vessel & Asset efficiency",Equipment Management,Old,Decarb,Mining,0.5,0,1,0.35,Nascent,,,,,13417,pstewart@petradatascience.com,https://linkedin.com/in/pennystewart
PickThisUp,,,Shipping,http://www.pickthisup.nl/,People Powered Delivery. PickThisUp helps consumer and webshops with cheap delivery by booking couriers who are already on the way.,,,,,,Digital Trading,Online Marketplace,,,Inquiry Management,Intelligent Pricing,2014,1-10,Netherlands,,Europe,Yes,Seed,,,"197,634",Nascent,,,,,TRUE,FALSE,FALSE,,,New,,,0.5,0,1,0.35,Nascent,,,,,42708,,
"Planetary Hydrogen",Startup,,Energy,https://www.planetaryhydrogen.com/,Developer of technologies to reduce carbon dioxide from air,,,,,,Decarbonisation,Other,Carbon capture technologies,,,Deprioritised,2019,1-10,Canada,,Global,Yes,Seed,,,"600,000",Nascent,,,,,FALSE,FALSE,FALSE,,,New,,,0.5,0,1,0.35,Nascent,,,,,22491,,
Planetly,Startup,,Energy,https://www.planetly.org/en/,Provider of smart solutions for carbon offset trading platforms,,,,,,Decarbonisation,Emission Trading & Offsetting,,,Emissions offsetting,Emissions Offsetting,2019,11-50,Germany,,Europe,Yes,Seed,,,"5,700,000",Nascent,,,,,TRUE,FALSE,FALSE,,,New,,,0.5,0,1,0.35,Nascent,,,,,28423,,
Doft,,,Shipping,https://doft.com,On-demand truck sharing app matching freight shippers and independent commercial truck drivers in USA. Doft is the first Uber for trucking.,,,,,,Digital Trading,Online Marketplace,Truck sharing app,,,,2016,1-10,USA,,Global,Yes,Seed,,,"500,000",Nascent,,,,,TRUE,FALSE,FALSE,,,New,,,0.5,0,1,0.35,Nascent,,,,,44217,,
PowerBee,Startup,IoT solutions for energy management,Unrelated,https://powerbee.cn,"PowerBee provides IoT solutions for energy management. Products include power communication chip, smart plugs, smart meters. Also, provides IoT applications such as power management system, lighting control system, temperature control system. Claims to have shipped over 100,000 smart meters to 10 cities mainly to the apartment market.","IoT Applications > Industry Specific > Real Estate and Construction > Real Estate
 Energy Efficiency Tech > Energy Management System > Building Automation Systems > BEMS
 Smart Grid > Advanced Metering Infrastructure > Smart Meters",,,,,Data Utilisation,Intelligent & Autonomous Shipping,,,Deprioritised,Deprioritised,2016,1-10,Australia,,Global,Yes,Series A,,,"8,800,000",Emerging,,1,Hazel,Yes,TRUE,,FALSE,"Infrastructure, Vessel & Asset efficiency",Equipment Management,Old,Decarb,Residential,0.5,0.33,1,0.515,Emerging,,,,,5828,,https://linkedin.com/in/timo-de-meyst-867620181
PowerZeek,Startup,Marketplace for clean fuel,Maritime,https://powerzeek.com/about-us/,Powerzeek provides a marketplace to enable yachts and ships to find and use cleaner fuel and to assist suppliers of quality fuel to find new customers for their cleaner fuel. ,,,,,,Digital Trading,Online Marketplace,,,Bunker Marketplace (merged with integrated marketplace),Bunker Marketplace,2017,1-10,Norway,,Europe,No,Unfunded,,,,Nascent,,,Hazel,Yes,TRUE,FALSE,FALSE,,,New,,,0.5,0,1,0.35,Nascent,,,,,6510,,
Pratititech,Startup,Provider of digital twin technology for solar plants,,https://pratititech.com,"Pratititech provides digital twin technology-based solutions for solar plants. Develops a digital twin based analytics engines known as Apollo that is used to improve the solar Photovoltaic (PV) power plant operations and performance. The SaaS solution provides operation insights, portfolio management, failure analysis, health analysis, and forecasting for business and their products.","Digital Twin > Digital Twin Platforms > Products > Energy
 Renewable Energy Tech > Solar Energy > Monitoring > Portfolio Monitoring",,,,,Data Utilisation,Intelligent & Autonomous Shipping,,,Deprioritised,Deprioritised,2015,51-200,India,,Global,Yes,Undisclosed,,,,Nascent,,2,Hazel,Yes,TRUE,,FALSE,"Infrastructure, Vessel & Asset efficiency",Equipment Management,Old,Decarb,Solar plants,0.5,0,1,0.35,Nascent,,,,,26552,"nitin.tappe@pratititech.com
 prashantanaskure@gmail.com
 prashant.anaskure@gmail.com
 milindmb@gmail.com","http://in.linkedin.com/in/nitintappe
 http://in.linkedin.com/in/prashantanaskure
 http://in.linkedin.com/in/milindbarve"
Vendavo,,,"Artificial Intelligence, Data and Analytics, Professional Services, Science and Engineering, Software",https://www.vendavo.com/,Price optimization and management software for B2B Sales,,,,,,Data Utilisation,Price Optimisation,,Yes,Automated pricing (Merged with commercial modelling),Intelligent Pricing,1998,,USA,,,Yes,Acquired,,,"21,000,000",,,,Nour,,TRUE,FALSE,FALSE,,,New,,,,,,,,,,,,,,
Project44,,,Shipping,https://www.project44.com/, the world’s leading Advanced Visibility Platform™ for shippers and logistics service providers,,,,,,Digital Trading,Intelligent Sourcing,Supply chain analytics,,Predicting supply & demand,Predicting Supply & Demand,2014,201-50,USA,,Global,Yes,Series C,,,"90,500,000",Mature,,,,,TRUE,FALSE,FALSE,,,New,,,0.5,0.66,1,0.68,Mature,,,,,32677,,
Prometheus,Startup,,Energy,https://www.prometheusfuels.com/,Provider of gasoline intended to remove carbon dioxide from air,,,,,,Decarbonisation,New Fuels,,,Supply new fuels,Physical Supply of New Fuels,2018,11-50,USA,,Global,Yes,Series B,,,"12,000,000",Nascent,,,,,TRUE,FALSE,FALSE,,,New,,,0.5,0.33,1,0.515,Emerging,,,,,24903,,
PROS,,,adjacent,https://www.gocomet.com/,ROS (NYSE: PRO) provides AI-based solutions that power commerce in the digital economy.,,,,,,New Customer Services,Customer Lifecycle Management,,,Deprioritised,Deprioritised,1985,2000+,USA,,Global,Yes,Series A,,,"25,000,000",Mature,,,Miles,,TRUE,FALSE,FALSE,,,New,,,1,0.33,1,0.665,Mature,,,,,43323,,
Qafila FZ LLC,,,Shipping,http://www.qafila.com/,"Qafila moves freight by simplifying logistics. With a simple touch. swipe or even a click you can do things like Book, Ship and Track.",,,,,,Digital Trading,Online Marketplace,,,Bunker Marketplace (merged with integrated marketplace),Bunker Marketplace,2018,1-10,United Arab Emirates,,Global,Yes,Undisclosed,,,"13,612",Nascent,,,,,TRUE,FALSE,FALSE,,,New,,,0.5,0,1,0.35,Nascent,,,,,11140,,
